city,lat,lng
Sammamish,47.6017,-122.0416
Kirkland,47.6974,-122.2054
Shoreline,47.7564,-122.3426
Seattle,47.6211,-122.3244
Kent,47.3887,-122.2129
Renton,47.4784,-122.1919
Vashon,47.4122,-122.4726
Maple Valley,47.3659,-122.0368
Bellevue,47.5951,-122.1535
Burien,47.4762,-122.3394
Federal Way,47.3091,-122.3358
SeaTac,47.4444,-122.2986
Mercer Island,47.5661,-122.232
Bothell,47.7735,-122.2044
Redmond,47.6762,-122.1169
Newcastle,47.5303,-122.1633
Lake Forest Park,47.7574,-122.2865
Auburn,47.3039,-122.2108
Issaquah,47.544,-122.0471
Normandy Park,47.4343,-122.3436
Kenmore,47.7516,-122.2489
Snoqualmie,47.5293,-121.8412
North Bend,47.49,-121.7742
Enumclaw,47.2017,-121.9897
Pacific,47.261,-122.2507
Covington,47.3668,-122.1044
Carnation,47.6442,-121.9041
Woodinville,47.7569,-122.1478
Clyde Hill,47.6303,-122.218
Duvall,47.7354,-121.9726
Black Diamond,47.313,-122.0181
Des Moines,47.3915,-122.3157
Medina,47.6273,-122.2427
Tukwila,47.4749,-122.2727
Yarrow Point,47.6488,-122.2188
Fall City,47.5717,-121.9134
Algona,47.2819,-122.2504
Milton,47.2522,-122.3156
Skykomish,47.7104,-121.3584
Ravensdale,47.3563,-121.9692
Preston,47.5239,121.9274
Snoqualmie Pass,47.4014,-121.4109
