bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,statezip,price,basement,renovated,era_category,lat,lng,10th,ave,ct,dr,ln,ne,nw,pl,rd,se,st,sw,way
3,1.0,7.1929342212158,9.660013734748668,1.0,0,0,3,6.802394763324311,430,1984,0,3009 229th Pl NE,98074,405000.0,1,0,539932.8210941788,47.6017,-122.0416,0.0,0.0,0.0,0.0,0.0,0.6361612497445948,0.0,0.7715561316737722,0.0,0.0,0.0,0.0,0.0
4,2.5,7.90100705199242,9.139917907679637,2.0,0,0,4,7.90100705199242,0,1994,0,1317 5th Ln,98033,837500.0,0,0,539932.8210941788,47.6974,-122.2054,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,6.672032945461067,9.03884005381381,1.0,0,0,4,6.672032945461067,0,1953,1983,556 N 167th St,98133,268500.0,0,1,450218.6320663586,47.7564,-122.3426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,2.5,7.495541943884256,7.90100705199242,2.0,0,0,3,7.495541943884256,0,2011,0,2803 SW Bataan St,98126,365000.0,0,0,614313.8655298545,47.6211,-122.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6023022875295023,0.7982680968426139,0.0
4,2.5,7.757906208351747,9.374497958142467,2.0,0,0,3,7.757906208351747,0,1997,0,24200-24498 144th Ave SE,98042,330000.0,0,0,539932.8210941788,47.3887,-122.2129,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
3,1.75,7.473069088032197,9.035986984831405,1.0,0,0,4,7.286191714702382,300,1960,2001,7510 45th Ave SW,98136,680000.0,1,1,450218.6320663586,47.6211,-122.3244,0.0,0.5162342959404601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564474015926825,0.0
4,2.5,8.007034012193408,8.706490361946617,2.0,0,0,3,8.007034012193408,0,2004,2003,11619 SE 200th St,98031,394500.0,0,1,614313.8655298545,47.3887,-122.2129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712126979970032,0.70205068506395,0.0,0.0
4,2.25,7.478734825567875,10.408254861718154,1.0,0,0,4,7.081708586105575,580,1965,0,14223 SE 179th Pl,98058,390000.0,1,0,450218.6320663586,47.4784,-122.1919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489919797839273,0.0,0.6625790626177024,0.0,0.0,0.0
3,2.5,6.975413927455952,7.051855622955894,2.0,0,0,3,6.579251212010101,350,2005,0,4536 42nd Ave SW,98116,330000.0,1,0,614313.8655298545,47.6211,-122.3244,0.0,0.5162342959404601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564474015926825,0.0
2,1.0,7.122866658599083,10.205146491918704,1.0,0,1,3,6.907755278982137,240,1943,2002,11516 103rd Ave SW,98070,355000.0,1,1,450218.6320663586,47.4122,-122.4726,0.0,0.5162342959404601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564474015926825,0.0
4,2.5,7.396335293800808,8.405814603432848,2.0,0,0,3,7.396335293800808,0,2003,0,24506 SE 276th Ct,98038,312900.0,0,0,614313.8655298545,47.3659,-122.0368,0.0,0.0,0.8698694477814449,0.0,0.0,0.0,0.0,0.0,0.0,0.4932820124598141,0.0,0.0,0.0
3,2.25,8.026170194946426,9.400547423044127,2.0,0,0,3,8.026170194946426,0,1983,2009,4651 175th Ave SE,98006,860000.0,0,1,539932.8210941788,47.5951,-122.1535,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
4,3.25,8.146129510025405,9.327234123447681,2.0,0,3,4,7.795646536334594,1020,1960,2001,Indian Trail,98166,1035000.0,1,1,450218.6320663586,47.4762,-122.3394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,6.779921907472252,9.809451560609533,1.0,0,0,4,6.779921907472252,0,1945,0,11257 Crestwood Dr S,98178,218000.0,0,0,450218.6320663586,47.6211,-122.3244,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.75,7.590852123688581,8.536995818712418,1.0,0,0,3,7.146772179452637,710,1965,1993,8516 Linden Ave N,98103,432500.0,1,1,450218.6320663586,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,7.24422751560335,9.064157861798101,1.0,0,0,5,7.24422751560335,0,1968,0,1033 S 316th St,98003,253400.0,0,0,450218.6320663586,47.3091,-122.3358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5,4.0,8.221478947267192,9.629050706834368,2.0,0,0,3,8.221478947267192,0,2005,0,1414 235th Pl SE,98075,960000.0,0,0,614313.8655298545,47.6017,-122.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489919797839273,0.0,0.6625790626177024,0.0,0.0,0.0
2,1.0,6.917705609835305,8.264878262801748,1.5,0,0,4,6.917705609835305,0,1906,1990,331 22nd Ave E,98112,500000.0,0,1,623805.5955773297,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2.0,7.200424892944957,9.048409504829962,1.0,0,0,3,7.200424892944957,0,1931,0,2730 S 146th St,98168,215000.0,0,0,623805.5955773297,47.4444,-122.2986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,1.0,7.200424892944957,9.655026193237628,1.0,0,0,4,7.200424892944957,0,1978,2000,31118 149th Ave SE,98042,124740.0,0,1,539932.8210941788,47.3887,-122.2129,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
5,2.25,7.828038032125829,9.198976041897133,2.0,0,0,3,7.828038032125829,0,1972,2002,7590 86th Ave SE,98040,955000.0,0,1,539932.8210941788,47.5661,-122.232,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
3,2.25,7.560080465021827,9.014690384970896,2.0,0,0,4,7.560080465021827,0,1989,0,14808 104th Ave NE,98011,443000.0,0,0,539932.8210941788,47.7735,-122.2044,0.0,0.6454246701002005,0.0,0.0,0.0,0.7638239294667636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5,7.055312843339752,8.476371196895983,1.0,0,0,3,7.055312843339752,0,1948,1994,4254 33rd Ave W,98199,582500.0,0,1,450218.6320663586,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.5,7.673223121121708,10.223394772282646,2.0,0,0,3,7.673223121121708,0,1997,0,3046 Quail Creek Way NE,98053,677099.565217,0,0,539932.8210941788,47.6762,-122.1169,0.0,0.0,0.0,0.0,0.0,0.4351715508224238,0.0,0.0,0.0,0.0,0.0,0.0,0.9003475558665146
3,1.5,7.824046010856292,8.470939806898775,1.5,0,2,3,7.27931883541462,1050,1940,1996,4111 1st Ave NW,98107,725000.0,1,1,450218.6320663586,47.6211,-122.3244,0.0,0.4437377669767846,0.0,0.0,0.0,0.0,0.8961566794698663,0.0,0.0,0.0,0.0,0.0,0.0
3,3.5,7.749322464660356,8.062747901086354,2.0,0,0,3,7.630461261783627,260,1997,0,12418 NE 100th St,98033,530000.0,1,0,539932.8210941788,47.6974,-122.2054,0.0,0.0,0.0,0.0,0.0,0.6870009097877064,0.0,0.0,0.0,0.0,0.7266565557062454,0.0,0.0
4,1.75,7.590852123688581,9.287301413112312,1.0,0,0,5,6.897704943128636,990,1948,1985,3712 88th Ave SE,98040,711000.0,1,1,450218.6320663586,47.5661,-122.232,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
6,2.25,8.174702882469461,9.374158457205578,1.0,0,0,4,7.992944547318106,590,1948,0,12722 15th Ave NE,98125,450000.0,1,0,450218.6320663586,47.6211,-122.3244,0.0,0.6454246701002005,0.0,0.0,0.0,0.7638239294667636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2.5,8.029432840581244,8.997889450200717,2.0,0,0,3,8.029432840581244,0,2005,0,6908 135th Pl SE,98059,804100.0,0,0,614313.8655298545,47.5303,-122.1633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489919797839273,0.0,0.6625790626177024,0.0,0.0,0.0
4,2.75,7.585788821732034,10.519375647549122,1.0,0,0,4,7.585788821732034,0,1961,2001,18625 Ridge Rd SW,98070,395000.0,0,1,450218.6320663586,47.4122,-122.4726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8623292788422624,0.0,0.0,0.5063479187785646,0.0
4,2.5,8.216088098632316,9.98759889515478,1.0,0,4,3,7.8709295967551425,1080,1988,2000,4462 175th Pl SE,98006,812650.0,1,1,539932.8210941788,47.5951,-122.1535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489919797839273,0.0,0.6625790626177024,0.0,0.0,0.0
3,1.75,7.426549072397305,9.259130536145614,1.0,0,0,4,7.426549072397305,0,1959,0,4 128th Ave SE,98005,675000.0,0,0,450218.6320663586,47.5951,-122.1535,0.0,0.6187245451487468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856080048156818,0.0,0.0,0.0
2,1.0,6.877296071497429,8.425077902508432,1.0,0,0,4,6.877296071497429,0,1907,0,4017 Corliss Ave N,98103,690000.0,0,0,623805.5955773297,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,7.293017679772782,8.873047798971067,1.0,0,0,3,6.927557906278317,450,1941,1994,9736 Dayton Ave N,98103,458663.888889,1,1,450218.6320663586,47.6211,-122.3244,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.5,7.029972911706386,8.966994113344454,1.0,0,0,4,7.029972911706386,0,1970,0,33818 35th Ave SW,98023,210000.0,0,0,539932.8210941788,47.3091,-122.3358,0.0,0.5162342959404601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564474015926825,0.0
3,2.25,7.615791072035833,9.189218875354072,1.0,0,0,4,7.313220387090301,530,1984,0,13322 SE 77th Ct,98059,572500.0,1,0,539932.8210941788,47.5303,-122.1633,0.0,0.0,0.8698694477814449,0.0,0.0,0.0,0.0,0.0,0.0,0.4932820124598141,0.0,0.0,0.0
3,1.75,7.736307096548285,9.602382459752207,1.0,0,0,3,7.3901814282264295,670,1965,1993,5319 NE 201st Pl,98155,470000.0,1,1,450218.6320663586,47.7574,-122.2865,0.0,0.0,0.0,0.0,0.0,0.6361612497445948,0.0,0.7715561316737722,0.0,0.0,0.0,0.0,0.0
3,2.0,7.600902459542082,8.073091199693154,1.0,0,0,4,7.003065458786462,900,1916,0,1330 N Lucas Pl,98103,677000.0,1,0,623805.5955773297,47.6211,-122.3244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,2.0,7.2078598714324755,8.268731832117737,1.0,0,0,3,7.2078598714324755,0,2003,0,232nd Way,98053,428000.0,0,0,614313.8655298545,47.6762,-122.1169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
